flight_id,airline,source,destination,route,departure_time,arrival_time,dep_date,dep_hour,overnight,duration_min,anomaly
AI069,Air India,DEL,BOM,DEL-BOM,2026-04-20 22:43:41,2026-04-21 02:29:41,2026-04-20,22,True,226.0,False
AI058,Air India,BOM,CCU,BOM-CCU,2026-04-20 22:40:41,2026-04-21 00:18:41,2026-04-20,22,True,98.0,False
AI140,Air India,BOM,DEL,BOM-DEL,2026-04-20 22:25:41,2026-04-21 02:08:41,2026-04-20,22,True,223.0,False
SJ239,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 22:24:41,2026-04-21 00:10:41,2026-04-20,22,True,106.0,False
6F099,IndiGo,MAA,DEL,MAA-DEL,2026-04-20 22:24:41,2026-04-20 22:59:41,2026-04-20,22,False,35.0,False
AI048,Air India,CCU,DEL,CCU-DEL,2026-04-20 22:23:41,2026-04-21 02:15:41,2026-04-20,22,True,232.0,False
SJ112,SpiceJet,HYD,DEL,HYD-DEL,2026-04-20 22:20:41,2026-04-21 00:40:41,2026-04-20,22,True,140.0,False
6F164,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 22:18:41,2026-04-21 00:45:41,2026-04-20,22,True,147.0,False
UK021,Vistara,HYD,MAA,HYD-MAA,2026-04-20 22:00:41,2026-04-20 23:50:41,2026-04-20,22,False,110.0,False
SJ172,SpiceJet,CCU,DEL,CCU-DEL,2026-04-20 21:58:41,2026-04-21 01:14:41,2026-04-20,21,True,196.0,False
AI060,Air India,DEL,HYD,DEL-HYD,2026-04-20 21:58:41,2026-04-20 23:51:41,2026-04-20,21,False,113.0,False
SJ205,SpiceJet,HYD,CCU,HYD-CCU,2026-04-20 21:56:41,2026-04-20 23:00:41,2026-04-20,21,False,64.0,False
SJ093,SpiceJet,BLR,BOM,BLR-BOM,2026-04-20 21:55:41,2026-04-20 23:01:41,2026-04-20,21,False,66.0,False
6F195,IndiGo,CCU,DEL,CCU-DEL,2026-04-20 21:44:41,2026-04-20 22:39:41,2026-04-20,21,False,55.0,False
UK003,Vistara,HYD,DEL,HYD-DEL,2026-04-20 21:41:41,2026-04-21 02:19:41,2026-04-20,21,True,278.0,False
UK026,Vistara,HYD,MAA,HYD-MAA,2026-04-20 21:38:41,2026-04-20 23:44:41,2026-04-20,21,False,126.0,False
6F174,IndiGo,DEL,HYD,DEL-HYD,2026-04-20 21:36:41,2026-04-20 22:16:41,2026-04-20,21,False,40.0,False
UK067,Vistara,BOM,CCU,BOM-CCU,2026-04-20 21:36:41,2026-04-21 01:02:41,2026-04-20,21,True,206.0,False
SJ149,SpiceJet,HYD,MAA,HYD-MAA,2026-04-20 21:20:41,2026-04-20 23:20:42,2026-04-20,21,False,120.00496666666666,False
6F213,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 21:05:41,2026-04-21 00:32:41,2026-04-20,21,True,207.0,False
UK200,Vistara,CCU,DEL,CCU-DEL,2026-04-20 20:54:41,2026-04-20 22:45:41,2026-04-20,20,False,111.0,False
SJ214,SpiceJet,BOM,MAA,BOM-MAA,2026-04-20 20:54:41,2026-04-20 22:10:41,2026-04-20,20,False,76.0,False
SJ047,SpiceJet,HYD,BOM,HYD-BOM,2026-04-20 20:44:41,2026-04-20 21:21:41,2026-04-20,20,False,37.0,False
AI179,Air India,HYD,BOM,HYD-BOM,2026-04-20 20:41:41,2026-04-21 01:19:41,2026-04-20,20,True,278.0,False
SJ153,SpiceJet,DEL,CCU,DEL-CCU,2026-04-20 20:37:41,2026-04-20 22:00:41,2026-04-20,20,False,83.0,False
6F236,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 20:35:41,2026-04-20 23:54:41,2026-04-20,20,False,199.0,False
UK059,Vistara,HYD,MAA,HYD-MAA,2026-04-20 20:33:41,2026-04-20 22:10:41,2026-04-20,20,False,97.0,False
SJ001,SpiceJet,BOM,MAA,BOM-MAA,2026-04-20 20:28:41,2026-04-21 01:15:41,2026-04-20,20,True,287.0,False
SJ049,SpiceJet,CCU,DEL,CCU-DEL,2026-04-20 20:26:41,2026-04-21 00:26:41,2026-04-20,20,True,240.0,False
6F086,IndiGo,MAA,HYD,MAA-HYD,2026-04-20 20:23:41,2026-04-20 21:00:41,2026-04-20,20,False,37.0,False
AI220,Air India,BOM,DEL,BOM-DEL,2026-04-20 20:19:41,2026-04-20 21:57:41,2026-04-20,20,False,98.0,False
AI188,Air India,CCU,HYD,CCU-HYD,2026-04-20 20:16:41,2026-04-20 23:02:41,2026-04-20,20,False,166.0,False
6F114,IndiGo,BOM,MAA,BOM-MAA,2026-04-20 20:10:41,2026-04-20 21:00:41,2026-04-20,20,False,50.0,False
SJ179,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 20:09:41,2026-04-20 23:39:41,2026-04-20,20,False,210.0,False
6F190,IndiGo,DEL,MAA,DEL-MAA,2026-04-20 20:02:41,2026-04-21 00:36:41,2026-04-20,20,True,274.0,False
SJ003,SpiceJet,MAA,CCU,MAA-CCU,2026-04-20 19:50:41,2026-04-20 20:32:41,2026-04-20,19,False,42.0,False
6F028,IndiGo,HYD,CCU,HYD-CCU,2026-04-20 19:49:41,2026-04-20 21:49:41,2026-04-20,19,False,120.0,False
UK036,Vistara,CCU,BLR,CCU-BLR,2026-04-20 19:48:41,2026-04-21 00:12:41,2026-04-20,19,True,264.0,False
SJ160,SpiceJet,MAA,BLR,MAA-BLR,2026-04-20 19:45:41,2026-04-20 20:30:41,2026-04-20,19,False,45.0,False
6F151,IndiGo,CCU,HYD,CCU-HYD,2026-04-20 19:44:41,2026-04-20 22:04:41,2026-04-20,19,False,140.0,False
UK140,Vistara,MAA,BLR,MAA-BLR,2026-04-20 19:37:41,2026-04-20 21:00:41,2026-04-20,19,False,83.0,False
AI115,Air India,MAA,BLR,MAA-BLR,2026-04-20 19:37:41,2026-04-21 00:26:41,2026-04-20,19,True,289.0,False
AI132,Air India,BLR,BOM,BLR-BOM,2026-04-20 19:32:41,2026-04-20 21:41:41,2026-04-20,19,False,129.0,False
UK209,Vistara,MAA,BLR,MAA-BLR,2026-04-20 19:02:41,2026-04-20 21:47:41,2026-04-20,19,False,165.0,False
SJ043,SpiceJet,MAA,DEL,MAA-DEL,2026-04-20 18:59:41,2026-04-20 21:08:41,2026-04-20,18,False,129.0,False
UK176,Vistara,HYD,BLR,HYD-BLR,2026-04-20 18:41:41,2026-04-20 22:49:41,2026-04-20,18,False,248.0,False
UK216,Vistara,MAA,HYD,MAA-HYD,2026-04-20 18:33:41,2026-04-20 21:47:41,2026-04-20,18,False,194.0,False
UK150,Vistara,DEL,CCU,DEL-CCU,2026-04-20 18:31:41,2026-04-20 19:01:41,2026-04-20,18,False,30.0,False
UK145,Vistara,BOM,HYD,BOM-HYD,2026-04-20 18:30:41,2026-04-20 20:41:41,2026-04-20,18,False,131.0,False
6F270,IndiGo,HYD,MAA,HYD-MAA,2026-04-20 18:14:41,2026-04-20 19:02:41,2026-04-20,18,False,48.0,False
6F012,IndiGo,CCU,HYD,CCU-HYD,2026-04-20 18:06:41,2026-04-20 21:31:41,2026-04-20,18,False,205.0,False
SJ236,SpiceJet,MAA,BOM,MAA-BOM,2026-04-20 18:03:41,2026-04-20 22:02:41,2026-04-20,18,False,239.0,False
6F149,IndiGo,BLR,CCU,BLR-CCU,2026-04-20 17:57:41,2026-04-20 20:42:41,2026-04-20,17,False,165.0,False
UK004,Vistara,BOM,CCU,BOM-CCU,2026-04-20 17:56:41,2026-04-20 18:30:41,2026-04-20,17,False,34.0,False
UK010,Vistara,MAA,HYD,MAA-HYD,2026-04-20 17:53:41,2026-04-20 20:40:41,2026-04-20,17,False,167.0,False
UK215,Vistara,BOM,DEL,BOM-DEL,2026-04-20 17:38:41,2026-04-20 19:50:41,2026-04-20,17,False,132.0,False
SJ116,SpiceJet,HYD,CCU,HYD-CCU,2026-04-20 17:33:41,2026-04-20 19:02:41,2026-04-20,17,False,89.0,False
SJ023,SpiceJet,HYD,MAA,HYD-MAA,2026-04-20 17:27:41,2026-04-20 19:09:41,2026-04-20,17,False,102.0,False
UK152,Vistara,BOM,CCU,BOM-CCU,2026-04-20 17:24:41,2026-04-20 20:13:41,2026-04-20,17,False,169.0,False
SJ202,SpiceJet,CCU,HYD,CCU-HYD,2026-04-20 17:21:41,2026-04-20 19:08:41,2026-04-20,17,False,107.0,False
6F043,IndiGo,BOM,HYD,BOM-HYD,2026-04-20 17:17:41,2026-04-20 18:43:41,2026-04-20,17,False,86.0,False
UK173,Vistara,MAA,BLR,MAA-BLR,2026-04-20 17:06:41,2026-04-20 21:22:41,2026-04-20,17,False,256.0,False
SJ081,SpiceJet,BOM,BLR,BOM-BLR,2026-04-20 17:04:41,2026-04-20 18:53:41,2026-04-20,17,False,109.0,False
UK153,Vistara,CCU,HYD,CCU-HYD,2026-04-20 16:52:41,2026-04-20 20:53:41,2026-04-20,16,False,241.0,False
UK187,Vistara,BLR,BOM,BLR-BOM,2026-04-20 16:52:41,2026-04-20 18:42:41,2026-04-20,16,False,110.0,False
UK055,Vistara,HYD,DEL,HYD-DEL,2026-04-20 16:48:41,2026-04-20 19:31:41,2026-04-20,16,False,163.0,False
UK181,Vistara,MAA,DEL,MAA-DEL,2026-04-20 16:44:41,2026-04-20 19:26:41,2026-04-20,16,False,162.0,False
UK074,Vistara,BOM,DEL,BOM-DEL,2026-04-20 16:44:41,2026-04-20 18:41:41,2026-04-20,16,False,117.0,False
SJ068,SpiceJet,BLR,BOM,BLR-BOM,2026-04-20 16:44:41,2026-04-20 18:48:41,2026-04-20,16,False,124.0,False
AI242,Air India,BLR,CCU,BLR-CCU,2026-04-20 16:41:41,2026-04-20 17:43:41,2026-04-20,16,False,62.0,False
SJ237,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 16:32:41,2026-04-20 19:00:41,2026-04-20,16,False,148.0,False
6F194,IndiGo,BOM,CCU,BOM-CCU,2026-04-20 16:29:41,2026-04-20 18:27:41,2026-04-20,16,False,118.0,False
UK063,Vistara,DEL,BOM,DEL-BOM,2026-04-20 16:29:41,2026-04-20 17:41:41,2026-04-20,16,False,72.0,False
UK068,Vistara,BLR,MAA,BLR-MAA,2026-04-20 16:28:41,2026-04-20 18:09:41,2026-04-20,16,False,101.0,False
UK224,Vistara,CCU,MAA,CCU-MAA,2026-04-20 16:25:41,2026-04-20 20:24:41,2026-04-20,16,False,239.0,False
UK077,Vistara,HYD,BOM,HYD-BOM,2026-04-20 16:22:41,2026-04-20 18:00:41,2026-04-20,16,False,98.0,False
UK207,Vistara,MAA,CCU,MAA-CCU,2026-04-20 16:21:41,2026-04-20 17:36:41,2026-04-20,16,False,75.0,False
AI221,Air India,MAA,HYD,MAA-HYD,2026-04-20 16:18:41,2026-04-20 18:54:41,2026-04-20,16,False,156.0,False
UK109,Vistara,BLR,BOM,BLR-BOM,2026-04-20 16:06:41,2026-04-20 17:06:42,2026-04-20,16,False,60.00496666666666,False
UK089,Vistara,BOM,HYD,BOM-HYD,2026-04-20 15:38:41,2026-04-20 19:50:41,2026-04-20,15,False,252.0,False
AI072,Air India,BLR,CCU,BLR-CCU,2026-04-20 15:34:41,2026-04-20 16:32:41,2026-04-20,15,False,58.0,False
UK131,Vistara,BOM,DEL,BOM-DEL,2026-04-20 15:33:41,2026-04-20 19:39:41,2026-04-20,15,False,246.0,False
SJ150,SpiceJet,BOM,HYD,BOM-HYD,2026-04-20 15:33:41,2026-04-20 19:03:41,2026-04-20,15,False,210.0,False
6F097,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 15:32:41,2026-04-20 16:49:41,2026-04-20,15,False,77.0,False
6F123,IndiGo,DEL,HYD,DEL-HYD,2026-04-20 15:26:41,2026-04-20 17:12:41,2026-04-20,15,False,106.0,False
6F017,IndiGo,CCU,BOM,CCU-BOM,2026-04-20 15:25:41,2026-04-20 18:06:41,2026-04-20,15,False,161.0,False
6F245,IndiGo,CCU,BOM,CCU-BOM,2026-04-20 15:25:41,2026-04-20 18:06:41,2026-04-20,15,False,161.0,False
6F180,IndiGo,MAA,BLR,MAA-BLR,2026-04-20 15:24:41,2026-04-20 19:48:41,2026-04-20,15,False,264.0,False
6F152,IndiGo,CCU,DEL,CCU-DEL,2026-04-20 15:21:41,2026-04-20 17:25:41,2026-04-20,15,False,124.0,False
SJ034,SpiceJet,MAA,BOM,MAA-BOM,2026-04-20 15:20:41,2026-04-20 20:11:41,2026-04-20,15,False,291.0,False
SJ142,SpiceJet,CCU,BOM,CCU-BOM,2026-04-20 15:14:41,2026-04-20 16:56:41,2026-04-20,15,False,102.0,False
UK189,Vistara,BLR,MAA,BLR-MAA,2026-04-20 15:07:41,2026-04-20 18:51:41,2026-04-20,15,False,224.0,False
SJ044,SpiceJet,DEL,CCU,DEL-CCU,2026-04-20 15:06:41,2026-04-20 17:43:41,2026-04-20,15,False,157.0,False
SJ196,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 14:58:41,2026-04-20 17:44:41,2026-04-20,14,False,166.0,False
6F188,IndiGo,DEL,HYD,DEL-HYD,2026-04-20 14:57:41,2026-04-20 19:39:41,2026-04-20,14,False,282.0,False
6F181,IndiGo,BOM,MAA,BOM-MAA,2026-04-20 14:55:41,2026-04-20 16:43:41,2026-04-20,14,False,108.0,False
6F077,IndiGo,CCU,DEL,CCU-DEL,2026-04-20 14:55:41,2026-04-20 19:13:41,2026-04-20,14,False,258.0,False
SJ154,SpiceJet,BLR,HYD,BLR-HYD,2026-04-20 14:47:41,2026-04-20 16:26:41,2026-04-20,14,False,99.0,False
AI025,Air India,HYD,DEL,HYD-DEL,2026-04-20 14:46:41,2026-04-20 17:11:41,2026-04-20,14,False,145.0,False
AI094,Air India,DEL,BLR,DEL-BLR,2026-04-20 14:44:41,2026-04-20 15:44:42,2026-04-20,14,False,60.00496666666666,False
6F191,IndiGo,BLR,DEL,BLR-DEL,2026-04-20 14:41:41,2026-04-20 15:11:41,2026-04-20,14,False,30.0,False
SJ085,SpiceJet,BLR,MAA,BLR-MAA,2026-04-20 14:41:41,2026-04-20 19:11:41,2026-04-20,14,False,270.0,False
6F261,IndiGo,CCU,DEL,CCU-DEL,2026-04-20 14:31:41,2026-04-20 17:29:41,2026-04-20,14,False,178.0,False
6F129,IndiGo,DEL,CCU,DEL-CCU,2026-04-20 14:28:41,2026-04-20 16:47:41,2026-04-20,14,False,139.0,False
6F254,IndiGo,MAA,BLR,MAA-BLR,2026-04-20 14:26:41,2026-04-20 18:01:41,2026-04-20,14,False,215.0,False
SJ185,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 14:21:41,2026-04-20 15:21:41,2026-04-20,14,False,60.0,False
6F030,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 14:20:41,2026-04-20 17:10:41,2026-04-20,14,False,170.0,False
SJ222,SpiceJet,BOM,DEL,BOM-DEL,2026-04-20 14:15:41,2026-04-20 17:09:41,2026-04-20,14,False,174.0,False
6F259,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 14:10:41,2026-04-20 15:21:41,2026-04-20,14,False,71.0,False
UK083,Vistara,DEL,HYD,DEL-HYD,2026-04-20 14:10:41,2026-04-20 14:59:41,2026-04-20,14,False,49.0,False
6F051,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 13:58:41,2026-04-20 15:58:41,2026-04-20,13,False,120.0,False
SJ088,SpiceJet,CCU,MAA,CCU-MAA,2026-04-20 13:54:41,2026-04-20 14:26:41,2026-04-20,13,False,32.0,False
6F146,IndiGo,HYD,MAA,HYD-MAA,2026-04-20 13:51:41,2026-04-20 15:07:41,2026-04-20,13,False,76.0,False
6F047,IndiGo,MAA,DEL,MAA-DEL,2026-04-20 13:50:41,2026-04-20 15:55:41,2026-04-20,13,False,125.0,False
AI077,Air India,CCU,HYD,CCU-HYD,2026-04-20 13:45:41,2026-04-20 14:51:41,2026-04-20,13,False,66.0,False
UK134,Vistara,HYD,CCU,HYD-CCU,2026-04-20 13:44:41,2026-04-20 17:26:41,2026-04-20,13,False,222.0,False
AI056,Air India,DEL,MAA,DEL-MAA,2026-04-20 13:44:41,2026-04-20 17:39:41,2026-04-20,13,False,235.0,False
UK141,Vistara,HYD,MAA,HYD-MAA,2026-04-20 13:38:41,2026-04-20 15:59:41,2026-04-20,13,False,141.0,False
AI030,Air India,CCU,HYD,CCU-HYD,2026-04-20 13:33:41,2026-04-20 16:52:41,2026-04-20,13,False,199.0,False
AI029,Air India,MAA,DEL,MAA-DEL,2026-04-20 13:29:41,2026-04-20 17:53:41,2026-04-20,13,False,264.0,False
SJ167,SpiceJet,MAA,CCU,MAA-CCU,2026-04-20 13:18:41,2026-04-20 14:12:41,2026-04-20,13,False,54.0,False
UK017,Vistara,BLR,HYD,BLR-HYD,2026-04-20 13:14:41,2026-04-20 14:49:41,2026-04-20,13,False,95.0,False
6F229,IndiGo,MAA,DEL,MAA-DEL,2026-04-20 13:10:41,2026-04-20 14:30:41,2026-04-20,13,False,80.0,False
SJ117,SpiceJet,MAA,BLR,MAA-BLR,2026-04-20 13:10:41,2026-04-20 17:06:41,2026-04-20,13,False,236.0,False
6F184,IndiGo,MAA,BOM,MAA-BOM,2026-04-20 13:05:41,2026-04-20 16:04:41,2026-04-20,13,False,179.0,False
AI031,Air India,DEL,MAA,DEL-MAA,2026-04-20 13:05:41,2026-04-20 16:11:41,2026-04-20,13,False,186.0,False
AI178,Air India,CCU,BLR,CCU-BLR,2026-04-20 13:04:41,2026-04-20 14:03:41,2026-04-20,13,False,59.0,False
SJ089,SpiceJet,HYD,CCU,HYD-CCU,2026-04-20 12:42:41,2026-04-20 17:15:41,2026-04-20,12,False,273.0,False
UK166,Vistara,HYD,MAA,HYD-MAA,2026-04-20 12:39:41,2026-04-20 17:32:41,2026-04-20,12,False,293.0,False
UK104,Vistara,DEL,BOM,DEL-BOM,2026-04-20 12:30:41,2026-04-20 13:52:41,2026-04-20,12,False,82.0,False
6F168,IndiGo,HYD,DEL,HYD-DEL,2026-04-20 12:18:41,2026-04-20 15:58:41,2026-04-20,12,False,220.0,False
AI222,Air India,BOM,DEL,BOM-DEL,2026-04-20 12:10:41,2026-04-20 13:14:41,2026-04-20,12,False,64.0,False
SJ025,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 12:02:41,2026-04-20 15:29:41,2026-04-20,12,False,207.0,False
6F255,IndiGo,DEL,BOM,DEL-BOM,2026-04-20 11:59:41,2026-04-20 15:33:41,2026-04-20,11,False,214.0,False
UK228,Vistara,DEL,MAA,DEL-MAA,2026-04-20 11:58:41,2026-04-20 15:08:41,2026-04-20,11,False,190.0,False
6F158,IndiGo,CCU,MAA,CCU-MAA,2026-04-20 11:58:41,2026-04-20 16:04:41,2026-04-20,11,False,246.0,False
SJ218,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 11:58:41,2026-04-20 15:03:41,2026-04-20,11,False,185.0,False
6F034,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 11:53:41,2026-04-20 12:49:41,2026-04-20,11,False,56.0,False
UK156,Vistara,MAA,BLR,MAA-BLR,2026-04-20 11:50:41,2026-04-20 15:54:41,2026-04-20,11,False,244.0,False
6F105,IndiGo,BLR,BOM,BLR-BOM,2026-04-20 11:46:41,2026-04-20 12:58:41,2026-04-20,11,False,72.0,False
6F073,IndiGo,DEL,CCU,DEL-CCU,2026-04-20 11:38:41,2026-04-20 15:18:41,2026-04-20,11,False,220.0,False
SJ074,SpiceJet,DEL,CCU,DEL-CCU,2026-04-20 11:21:41,2026-04-20 12:02:41,2026-04-20,11,False,41.0,False
6F234,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 11:20:41,2026-04-20 14:11:41,2026-04-20,11,False,171.0,False
6F068,IndiGo,BLR,HYD,BLR-HYD,2026-04-20 11:17:41,2026-04-20 15:06:41,2026-04-20,11,False,229.0,False
6F074,IndiGo,HYD,BOM,HYD-BOM,2026-04-20 11:09:41,2026-04-20 14:29:41,2026-04-20,11,False,200.0,False
AI038,Air India,HYD,MAA,HYD-MAA,2026-04-20 11:05:41,2026-04-20 15:44:41,2026-04-20,11,False,279.0,False
AI079,Air India,CCU,BLR,CCU-BLR,2026-04-20 11:04:41,2026-04-20 13:19:41,2026-04-20,11,False,135.0,False
SJ018,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 10:58:41,2026-04-20 13:31:41,2026-04-20,10,False,153.0,False
6F018,IndiGo,DEL,BLR,DEL-BLR,2026-04-20 10:57:41,2026-04-20 11:43:41,2026-04-20,10,False,46.0,False
AI091,Air India,CCU,MAA,CCU-MAA,2026-04-20 10:52:41,2026-04-20 15:15:41,2026-04-20,10,False,263.0,False
UK071,Vistara,DEL,HYD,DEL-HYD,2026-04-20 10:50:41,2026-04-20 14:06:41,2026-04-20,10,False,196.0,False
AI019,Air India,BOM,CCU,BOM-CCU,2026-04-20 10:49:41,2026-04-20 11:51:41,2026-04-20,10,False,62.0,False
UK212,Vistara,HYD,MAA,HYD-MAA,2026-04-20 10:46:41,2026-04-20 11:31:41,2026-04-20,10,False,45.0,False
AI146,Air India,BLR,DEL,BLR-DEL,2026-04-20 10:40:41,2026-04-20 13:46:41,2026-04-20,10,False,186.0,False
6F232,IndiGo,MAA,BLR,MAA-BLR,2026-04-20 10:39:41,2026-04-20 12:22:41,2026-04-20,10,False,103.0,False
6F084,IndiGo,CCU,HYD,CCU-HYD,2026-04-20 10:34:41,2026-04-20 11:34:42,2026-04-20,10,False,60.00496666666666,False
AI129,Air India,BOM,CCU,BOM-CCU,2026-04-20 10:29:41,2026-04-20 13:38:41,2026-04-20,10,False,189.0,False
AI240,Air India,MAA,DEL,MAA-DEL,2026-04-20 10:19:41,2026-04-20 12:46:41,2026-04-20,10,False,147.0,False
6F091,IndiGo,BLR,CCU,BLR-CCU,2026-04-20 10:10:41,2026-04-20 11:36:41,2026-04-20,10,False,86.0,False
UK133,Vistara,BOM,DEL,BOM-DEL,2026-04-20 10:04:41,2026-04-20 13:16:41,2026-04-20,10,False,192.0,False
SJ007,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 10:03:41,2026-04-20 14:53:41,2026-04-20,10,False,290.0,False
SJ141,SpiceJet,CCU,DEL,CCU-DEL,2026-04-20 10:00:41,2026-04-20 13:37:41,2026-04-20,10,False,217.0,False
6F049,IndiGo,HYD,DEL,HYD-DEL,2026-04-20 10:00:41,2026-04-20 13:13:41,2026-04-20,10,False,193.0,False
SJ235,SpiceJet,BOM,DEL,BOM-DEL,2026-04-20 09:57:41,2026-04-20 13:45:41,2026-04-20,9,False,228.0,False
UK087,Vistara,HYD,MAA,HYD-MAA,2026-04-20 09:49:41,2026-04-20 13:17:41,2026-04-20,9,False,208.0,False
UK170,Vistara,BOM,BLR,BOM-BLR,2026-04-20 09:42:41,2026-04-20 11:32:41,2026-04-20,9,False,110.0,False
SJ078,SpiceJet,DEL,HYD,DEL-HYD,2026-04-20 09:41:41,2026-04-20 12:49:41,2026-04-20,9,False,188.0,False
SJ075,SpiceJet,MAA,BLR,MAA-BLR,2026-04-20 09:26:41,2026-04-20 11:03:41,2026-04-20,9,False,97.0,False
AI159,Air India,HYD,BLR,HYD-BLR,2026-04-20 09:23:41,2026-04-20 11:36:41,2026-04-20,9,False,133.0,False
UK120,Vistara,HYD,DEL,HYD-DEL,2026-04-20 09:19:41,2026-04-20 13:30:41,2026-04-20,9,False,251.0,False
AI059,Air India,CCU,DEL,CCU-DEL,2026-04-20 09:16:41,2026-04-20 11:43:41,2026-04-20,9,False,147.0,False
UK040,Vistara,HYD,CCU,HYD-CCU,2026-04-20 09:15:41,2026-04-20 10:32:41,2026-04-20,9,False,77.0,False
AI044,Air India,MAA,BLR,MAA-BLR,2026-04-20 09:03:41,2026-04-20 12:36:41,2026-04-20,9,False,213.0,False
AI078,Air India,DEL,BOM,DEL-BOM,2026-04-20 08:58:41,2026-04-20 13:28:41,2026-04-20,8,False,270.0,False
SJ226,SpiceJet,HYD,BOM,HYD-BOM,2026-04-20 08:47:41,2026-04-20 12:54:41,2026-04-20,8,False,247.0,False
6F209,IndiGo,MAA,CCU,MAA-CCU,2026-04-20 08:40:41,2026-04-20 13:40:41,2026-04-20,8,False,300.0,False
UK193,Vistara,HYD,DEL,HYD-DEL,2026-04-20 08:39:41,2026-04-20 09:14:41,2026-04-20,8,False,35.0,False
6F092,IndiGo,MAA,BLR,MAA-BLR,2026-04-20 08:39:41,2026-04-20 09:15:41,2026-04-20,8,False,36.0,False
AI208,Air India,BLR,BOM,BLR-BOM,2026-04-20 08:38:41,2026-04-20 11:52:41,2026-04-20,8,False,194.0,False
SJ227,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 08:32:41,2026-04-20 12:53:41,2026-04-20,8,False,261.0,False
6F238,IndiGo,BOM,DEL,BOM-DEL,2026-04-20 08:31:41,2026-04-20 09:19:41,2026-04-20,8,False,48.0,False
AI084,Air India,BOM,HYD,BOM-HYD,2026-04-20 08:31:41,2026-04-20 09:46:41,2026-04-20,8,False,75.0,False
SJ228,SpiceJet,BOM,CCU,BOM-CCU,2026-04-20 08:29:41,2026-04-20 12:16:41,2026-04-20,8,False,227.0,False
UK194,Vistara,CCU,BOM,CCU-BOM,2026-04-20 08:26:41,2026-04-20 09:26:42,2026-04-20,8,False,60.00495,False
6F126,IndiGo,CCU,MAA,CCU-MAA,2026-04-20 08:21:41,2026-04-20 09:39:41,2026-04-20,8,False,78.0,False
SJ052,SpiceJet,MAA,BLR,MAA-BLR,2026-04-20 08:20:41,2026-04-20 09:57:41,2026-04-20,8,False,97.0,False
AI233,Air India,BLR,BOM,BLR-BOM,2026-04-20 08:04:41,2026-04-20 09:52:41,2026-04-20,8,False,108.0,False
